iter	Passed	Remaining
0	3	480
1	7	493
2	11	498
3	14	462
4	17	456
5	21	450
6	28	501
7	32	510
8	37	518
9	42	524
10	47	521
11	51	511
12	55	505
13	59	501
14	63	492
15	66	483
16	69	472
17	73	463
18	76	455
19	80	449
20	83	442
21	87	436
22	90	431
23	94	424
24	97	418
25	100	411
26	104	404
27	107	397
28	110	392
29	113	387
30	117	382
31	120	376
32	123	371
33	127	366
34	130	361
35	133	355
36	136	350
37	139	345
38	142	340
39	146	336
40	149	332
41	152	327
42	156	323
43	159	318
44	162	314
45	166	310
46	169	306
47	173	303
48	176	298
49	179	294
50	183	290
51	186	286
52	189	282
53	192	278
54	196	274
55	199	271
56	203	267
57	206	263
58	209	259
59	213	255
60	216	251
61	219	247
62	222	243
63	226	240
64	229	236
65	232	232
66	235	228
67	238	224
68	241	220
69	245	217
70	248	213
71	252	210
72	255	206
73	258	202
74	261	198
75	264	194
76	267	191
77	270	187
78	274	183
79	277	180
80	280	176
81	283	172
82	286	169
83	290	165
84	293	162
85	296	158
86	300	155
87	303	151
88	306	148
89	310	144
90	313	141
91	317	137
92	320	134
93	324	131
94	327	127
95	330	124
96	334	120
97	337	117
98	340	113
99	343	110
100	347	106
101	350	103
102	353	99
103	357	96
104	360	92
105	364	89
106	367	85
107	370	82
108	373	78
109	377	75
110	380	72
111	383	68
112	387	65
113	390	61
114	394	58
115	397	54
116	400	51
117	403	47
118	406	44
119	410	41
120	413	37
121	416	34
122	419	30
123	424	27
124	427	23
125	431	20
126	434	17
127	438	13
128	441	10
129	445	6
130	448	3
131	451	0
