iter	Passed	Remaining
0	143	143458
1	144	72161
2	145	48443
3	148	36931
4	151	30245
5	152	25295
6	153	21769
7	154	19127
8	154	17057
9	155	15416
10	156	14065
11	157	12949
12	158	11996
13	158	11157
14	158	10429
15	159	9790
16	159	9227
17	159	8725
18	160	8277
19	160	7873
20	161	7507
21	161	7175
22	161	6874
23	162	6594
24	162	6339
25	162	6102
26	163	5884
27	164	5703
28	164	5518
29	165	5356
30	166	5204
31	167	5060
32	167	4916
33	168	4778
34	168	4648
35	168	4524
36	169	4408
37	169	4297
38	170	4192
39	170	4094
40	170	3999
41	171	3909
42	171	3823
43	172	3741
44	172	3663
45	173	3588
46	173	3516
47	173	3447
48	174	3381
49	174	3318
50	175	3256
51	175	3197
52	175	3140
53	176	3086
54	176	3033
55	176	2983
56	177	2934
57	177	2887
58	178	2842
59	178	2799
60	179	2757
61	179	2718
62	180	2679
63	180	2642
64	181	2605
65	181	2569
66	181	2533
67	182	2500
68	182	2468
69	183	2435
70	183	2404
71	184	2374
72	184	2344
73	185	2315
74	185	2287
75	185	2260
76	186	2234
77	186	2208
78	187	2182
79	187	2157
80	188	2133
81	188	2110
82	188	2084
83	189	2063
84	189	2041
85	190	2020
86	190	1999
87	190	1978
88	191	1959
89	191	1939
90	192	1919
91	192	1900
92	192	1881
93	193	1863
94	193	1845
95	194	1827
96	194	1810
97	194	1793
98	195	1777
99	195	1761
100	196	1746
101	196	1730
102	197	1716
103	197	1700
104	197	1686
105	198	1671
106	198	1657
107	199	1643
108	199	1630
109	199	1616
110	200	1603
111	200	1590
112	200	1577
113	201	1564
114	201	1553
115	202	1541
116	202	1528
117	202	1517
118	203	1505
119	203	1493
120	204	1482
121	204	1471
122	204	1460
123	205	1450
124	205	1439
125	206	1429
126	206	1418
127	206	1408
128	207	1398
129	207	1389
130	208	1380
131	208	1371
132	208	1361
133	209	1352
134	209	1343
135	210	1334
136	210	1325
137	210	1316
138	211	1308
139	211	1299
140	212	1291
141	212	1282
142	212	1274
143	213	1266
144	213	1258
145	213	1250
146	214	1242
147	214	1236
148	215	1229
149	215	1221
150	215	1214
151	216	1207
152	216	1200
153	217	1193
154	217	1186
155	217	1179
156	218	1172
157	218	1165
158	219	1158
159	219	1152
160	219	1145
161	220	1139
162	220	1133
163	221	1127
164	221	1121
165	222	1115
166	222	1109
167	222	1103
168	223	1097
169	223	1092
170	224	1086
171	224	1080
172	224	1075
173	225	1069
174	225	1063
175	226	1058
176	226	1052
177	226	1047
178	227	1042
179	227	1037
180	228	1032
181	228	1026
182	228	1021
183	229	1016
184	229	1011
185	229	1006
186	230	1001
187	230	996
188	231	991
189	231	987
190	231	982
191	232	977
192	232	972
193	233	968
194	233	964
195	234	960
196	234	956
197	234	951
198	235	947
199	235	942
200	236	938
201	236	934
202	236	930
203	237	926
204	237	921
205	238	917
206	238	913
207	238	909
208	239	905
209	239	901
210	240	897
211	240	893
212	240	890
213	241	886
214	241	882
215	242	878
216	242	874
217	242	871
218	243	867
219	243	863
220	244	860
221	244	856
222	244	853
223	245	849
224	245	845
225	245	842
226	246	838
227	246	835
228	247	832
229	247	828
230	247	825
231	248	822
232	248	818
233	249	815
234	249	812
235	249	809
236	250	806
237	250	802
238	251	799
239	251	796
240	251	793
241	252	790
242	252	787
243	253	783
244	253	780
245	253	777
246	254	774
247	254	771
248	254	768
249	255	765
250	255	762
251	256	760
252	256	757
253	256	754
254	257	751
255	257	748
256	257	745
257	258	742
258	258	740
259	259	737
260	259	734
261	259	731
262	260	729
263	260	726
264	260	723
265	261	721
266	261	718
267	262	715
268	262	713
269	262	710
270	263	708
271	263	705
272	264	703
273	264	700
274	264	698
275	265	695
276	265	693
277	266	691
278	266	688
279	266	686
280	267	684
281	267	681
282	268	679
283	268	676
284	268	674
285	269	672
286	269	669
287	270	667
288	270	665
289	270	663
